date,open,high,low,close,volume
2023-01-02,100.68,101.05,99.23,99.7,1886
2023-01-03,100.64,101.1,99.8,100.06,1427
2023-01-04,101.55,101.98,100.96,101.01,2328
2023-01-05,103.06,103.73,102.32,102.55,2895
2023-01-06,101.61,102.28,101.39,102.07,2994
2023-01-09,101.59,103.31,101.44,102.37,1316
2023-01-10,103.9,104.28,103.0,103.11,2986
2023-01-11,104.66,105.29,104.1,104.34,1634
2023-01-12,104.2,105.08,103.37,104.0,2925
2023-01-13,106.41,107.15,104.29,104.74,3056
2023-01-16,104.3,104.7,104.21,104.37,3821
2023-01-17,104.12,104.15,102.77,102.99,4144
2023-01-18,104.27,104.41,102.3,103.03,4430
2023-01-19,102.21,103.08,102.11,102.52,3270
2023-01-20,100.0,101.54,99.48,100.32,2439
2023-01-23,99.97,100.04,98.48,99.22,1552
2023-01-24,98.19,99.41,98.06,99.36,4441
2023-01-25,98.78,99.32,98.33,98.95,1715
2023-01-26,97.74,98.82,97.7,98.58,2287
2023-01-27,96.61,96.73,96.08,96.61,4911
2023-01-30,99.2,99.59,98.81,99.07,2713
2023-01-31,96.88,98.93,96.18,98.69,2883
2023-02-01,98.22,99.17,96.61,97.76,4389
2023-02-02,95.65,97.62,95.47,96.94,2107
2023-02-03,95.68,97.03,95.45,96.23,2341
2023-02-06,96.57,96.96,95.84,96.71,1110
2023-02-07,94.9,95.4,93.6,94.39,1250
2023-02-08,94.71,95.65,94.45,95.59,3430
2023-02-09,94.29,95.2,94.08,95.18,3054
2023-02-10,94.7,95.24,93.34,93.48,1458
2023-02-13,93.39,94.23,92.49,93.16,2107
2023-02-14,95.71,96.48,94.13,94.59,1207
2023-02-15,95.62,95.69,94.96,95.46,1899
2023-02-16,94.21,95.11,93.83,94.89,4461
2023-02-17,96.43,96.94,96.09,96.11,4385
2023-02-20,94.45,95.28,94.06,94.17,1021
2023-02-21,93.33,95.57,92.56,95.16,1409
2023-02-22,92.48,92.52,91.2,91.7,1894
2023-02-23,90.73,91.37,89.71,90.21,1514
2023-02-24,91.68,92.33,91.12,91.23,4198
2023-02-27,91.6,92.35,91.57,92.19,1808
2023-02-28,92.11,92.98,91.77,92.15,4771
2023-03-01,92.3,92.43,90.45,91.01,1873
2023-03-02,92.18,92.93,91.51,91.7,1013
2023-03-03,89.67,89.79,89.53,89.62,1970
2023-03-06,89.38,90.02,89.14,89.88,4025
2023-03-07,88.85,90.62,88.71,89.27,4061
2023-03-08,89.82,89.85,88.45,89.68,4083
2023-03-09,91.37,91.49,89.91,90.23,3134
2023-03-10,88.93,89.28,87.93,88.2,4595
2023-03-13,88.42,89.94,88.11,89.02,3956
2023-03-14,89.12,89.71,88.85,89.14,2560
2023-03-15,89.05,89.18,87.18,87.5,2324
2023-03-16,89.12,89.67,88.26,88.85,2266
2023-03-17,88.87,90.65,88.16,89.37,3169
2023-03-20,90.32,90.35,89.88,90.17,4218
2023-03-21,90.36,90.36,89.25,89.67,4638
2023-03-22,89.06,89.07,88.66,88.9,1749
2023-03-23,89.97,90.07,89.19,89.47,4427
2023-03-24,91.11,91.18,89.81,90.12,1684
2023-03-27,89.78,91.51,89.68,91.22,2927
2023-03-28,90.03,90.35,89.27,90.07,4804
2023-03-29,87.33,88.62,86.56,88.6,4702
2023-03-30,87.24,88.13,86.34,87.86,3356
2023-03-31,88.44,88.87,88.13,88.51,1694
2023-04-03,89.3,89.86,89.1,89.81,3335
2023-04-04,90.67,90.79,90.01,90.16,1306
2023-04-05,90.14,91.98,89.97,91.23,4883
2023-04-06,91.0,92.32,90.62,90.95,4665
2023-04-07,90.64,91.18,89.28,90.28,2989
2023-04-10,91.65,92.28,90.71,90.79,3961
2023-04-11,91.75,92.79,90.92,91.32,4794
2023-04-12,93.02,93.19,90.99,91.68,1661
2023-04-13,94.0,94.87,93.64,94.68,1548
2023-04-14,90.89,92.9,90.87,92.2,4423
2023-04-17,92.43,92.82,91.18,92.08,1311
2023-04-18,92.39,93.13,92.13,92.58,3920
2023-04-19,91.69,93.02,91.58,92.14,2082
2023-04-20,92.12,94.09,92.11,93.62,4714
2023-04-21,89.9,91.29,89.31,90.65,3971
2023-04-24,89.93,90.29,88.55,89.81,2737
2023-04-25,90.56,91.13,89.49,89.75,1754
2023-04-26,92.5,92.76,90.66,90.9,1034
2023-04-27,90.57,91.54,90.05,91.29,1444
2023-04-28,91.45,92.06,89.66,90.0,3140
2023-05-01,88.9,89.52,87.98,89.17,2982
2023-05-02,90.72,90.84,90.18,90.47,2230
2023-05-03,91.42,91.61,90.4,90.58,1352
2023-05-04,90.73,91.79,90.44,91.44,1902
2023-05-05,90.8,91.77,90.24,91.55,2355
2023-05-08,91.1,91.38,90.69,91.2,4888
2023-05-09,91.93,93.49,91.67,92.91,3909
2023-05-10,91.18,92.05,90.64,91.51,2748
2023-05-11,91.57,91.88,90.13,90.71,1158
2023-05-12,90.93,91.81,90.24,91.51,2977
2023-05-15,88.94,89.71,88.62,89.56,1956
2023-05-16,90.03,90.2,88.98,89.07,3071
2023-05-17,90.0,90.62,89.68,89.75,1403
2023-05-18,90.26,90.72,88.81,89.41,3852
2023-05-19,89.93,90.02,88.52,88.92,1515
2023-05-22,87.79,88.92,87.6,88.66,3779
2023-05-23,87.5,89.26,87.3,88.73,2387
2023-05-24,87.81,88.16,86.72,86.74,4453
2023-05-25,86.94,87.64,86.28,86.92,3579
2023-05-26,86.46,87.24,86.05,86.15,1955
2023-05-29,86.94,87.24,86.61,86.63,3199
2023-05-30,89.4,90.04,87.79,88.47,4633
2023-05-31,88.64,89.52,88.13,88.51,2712
2023-06-01,89.47,90.51,88.9,89.22,3994
2023-06-02,89.02,89.87,87.62,88.71,1607
2023-06-05,87.09,87.44,86.94,87.34,4688
2023-06-06,87.73,87.77,87.04,87.15,3467
2023-06-07,87.65,87.92,86.99,87.12,2273
2023-06-08,90.11,90.31,88.46,89.25,4188
2023-06-09,90.16,90.18,89.17,89.22,3913
2023-06-12,89.82,90.74,89.68,90.19,2535
2023-06-13,90.11,90.17,89.72,90.02,4811
2023-06-14,88.45,88.52,88.02,88.12,3625
2023-06-15,89.91,90.09,89.57,89.8,3382
2023-06-16,90.43,90.9,90.34,90.88,2441
2023-06-19,91.34,91.49,89.92,90.46,3979
2023-06-20,90.68,91.53,90.14,90.65,2797
2023-06-21,91.38,92.13,91.31,91.45,1294
2023-06-22,91.43,91.8,90.32,90.67,1754
2023-06-23,90.47,90.67,89.87,90.59,2394
2023-06-26,92.55,92.64,91.5,92.26,1185
2023-06-27,92.75,92.76,91.08,91.36,2269
2023-06-28,92.0,92.17,91.44,91.63,1636
2023-06-29,92.01,92.28,91.05,91.83,2291
2023-06-30,91.51,91.9,90.71,90.75,4714
2023-07-03,89.64,90.07,89.36,89.97,4308
2023-07-04,89.27,89.76,87.95,88.89,1529
2023-07-05,88.69,88.9,87.9,88.62,4623
2023-07-06,88.79,89.64,87.42,88.52,3068
2023-07-07,88.7,89.21,87.66,87.88,3958
2023-07-10,89.69,90.02,89.43,89.78,4808
2023-07-11,88.56,88.69,88.03,88.55,3914
2023-07-12,88.49,88.98,88.11,88.46,1793
2023-07-13,89.67,90.8,89.55,89.97,4591
2023-07-14,87.95,88.46,87.67,87.95,3147
2023-07-17,88.05,89.8,87.41,88.88,3799
2023-07-18,89.89,90.53,88.77,89.21,1477
2023-07-19,88.29,88.74,87.96,88.43,2622
2023-07-20,88.09,89.08,88.04,89.07,4369
2023-07-21,88.37,88.63,86.45,87.37,1939
2023-07-24,89.51,89.87,88.46,88.99,1525
2023-07-25,87.43,88.53,86.67,88.44,3381
2023-07-26,86.13,87.11,85.78,86.73,1001
2023-07-27,86.99,87.85,86.97,87.54,1374
2023-07-28,87.54,88.25,87.23,87.35,3340
2023-07-31,88.06,88.52,87.82,87.94,3884
2023-08-01,88.99,89.66,87.99,88.17,4052
2023-08-02,88.0,88.64,87.37,88.15,1552
2023-08-03,87.72,88.45,87.0,87.93,3365
2023-08-04,88.08,88.74,88.04,88.26,2525
2023-08-07,86.88,88.49,86.32,87.17,2851
2023-08-08,89.24,89.48,88.83,89.0,1380
2023-08-09,89.57,89.67,89.27,89.5,2646
2023-08-10,88.69,89.15,88.4,88.72,1013
2023-08-11,88.77,89.32,88.55,88.97,1503
2023-08-14,88.47,88.76,88.03,88.35,3278
2023-08-15,89.76,90.09,89.1,90.03,3008
2023-08-16,90.1,91.87,90.0,90.59,4155
2023-08-17,89.53,89.58,88.82,89.17,1129
2023-08-18,90.64,91.47,90.6,90.9,4814
2023-08-21,90.51,90.86,89.79,90.51,1837
2023-08-22,91.64,91.66,90.17,90.51,4216
2023-08-23,93.44,94.32,92.02,92.93,3938
2023-08-24,93.23,93.55,92.23,92.25,4928
2023-08-25,92.04,93.16,91.33,92.25,3040
2023-08-28,91.55,91.91,91.49,91.55,1027
2023-08-29,90.97,91.84,90.63,91.56,3113
2023-08-30,91.37,91.69,90.39,90.81,4234
2023-08-31,91.47,91.95,90.55,90.88,2252
2023-09-01,92.34,92.65,91.46,91.68,1260
2023-09-04,91.71,92.49,90.04,90.99,3046
2023-09-05,92.54,92.91,92.0,92.22,2472
2023-09-06,93.65,94.07,92.44,93.94,2447
2023-09-07,94.39,94.43,91.76,92.56,1459
2023-09-08,95.61,96.9,95.23,96.59,4747
2023-09-11,96.22,96.9,95.83,96.81,1300
2023-09-12,95.48,96.24,95.27,95.58,3966
2023-09-13,93.65,95.22,93.17,95.03,4374
2023-09-14,94.93,96.64,94.91,96.33,3334
2023-09-15,94.59,95.34,94.59,95.06,4466
2023-09-18,95.76,96.35,95.18,95.81,4081
2023-09-19,96.33,96.75,95.18,95.93,4778
2023-09-20,97.02,97.25,95.22,95.66,1629
2023-09-21,95.71,95.75,95.54,95.65,1269
2023-09-22,93.44,94.27,93.28,93.3,3639
2023-09-25,92.83,93.53,92.72,93.31,2993
2023-09-26,94.38,94.48,92.87,93.9,2628
2023-09-27,93.69,94.72,93.56,94.59,2801
2023-09-28,94.02,94.66,92.93,93.27,3891
2023-09-29,93.87,94.41,93.29,93.79,1861
2023-10-02,93.43,93.95,93.27,93.41,4432
2023-10-03,91.92,92.66,91.02,92.64,2280
