date,open,high,low,close,volume,daily_return,ma_5,ma_10,volatility_5,volume_change
2023-01-02,100.68,101.05,99.23,99.7,1886,0.0,101.078,102.39500000000001,0.0,0.0
2023-01-03,100.64,101.1,99.8,100.06,1427,0.003610832497492389,101.078,102.39500000000001,0.0,-0.24337221633085893
2023-01-04,101.55,101.98,100.96,101.01,2328,0.009494303417949324,101.078,102.39500000000001,0.0,0.6313945339873861
2023-01-05,103.06,103.73,102.32,102.55,2895,0.01524601524601521,101.078,102.39500000000001,0.0,0.24355670103092786
2023-01-06,101.61,102.28,101.39,102.07,2994,-0.004680643588493405,101.078,102.39500000000001,0.00783375274451714,0.03419689119170988
2023-01-09,101.59,103.31,101.44,102.37,1316,0.0029391594004115618,101.612,102.39500000000001,0.007492547909348093,-0.5604542418169673
2023-01-10,103.9,104.28,103.0,103.11,2986,0.00722868027742507,102.22200000000001,102.39500000000001,0.007460615751703927,1.268996960486322
2023-01-11,104.66,105.29,104.1,104.34,1634,0.011929007855688178,102.888,102.39500000000001,0.00781311393976131,-0.4527796383121232
2023-01-12,104.2,105.08,103.37,104.0,2925,-0.0032585777266628257,103.178,102.39500000000001,0.006993439463717623,0.7900856793145654
2023-01-13,106.41,107.15,104.29,104.74,3056,0.0071153846153846345,103.71200000000002,102.39500000000001,0.005694784816106032,0.044786324786324716
2023-01-16,104.3,104.7,104.21,104.37,3821,-0.003532556807332332,104.11200000000001,102.862,0.0069349089445743545,0.2503272251308901
2023-01-17,104.12,104.15,102.77,102.99,4144,-0.013222190284564617,104.08800000000001,103.155,0.009882633290096438,0.08453284480502488
2023-01-18,104.27,104.41,102.3,103.03,4430,0.00038838722206047116,103.826,103.357,0.007372336163330747,0.06901544401544402
2023-01-19,102.21,103.08,102.11,102.52,3270,-0.004950014558866345,103.53,103.354,0.007454090121785028,-0.2618510158013544
2023-01-20,100.0,101.54,99.48,100.32,2439,-0.02145922746781115,102.646,103.179,0.008753667549646894,-0.25412844036697246
2023-01-23,99.97,100.04,98.48,99.22,1552,-0.010964912280701733,101.616,102.864,0.008307222051865813,-0.3636736367363673
2023-01-24,98.19,99.41,98.06,99.36,4441,0.0014110058455956143,100.89,102.48899999999999,0.009410890548317362,1.8614690721649483
2023-01-25,98.78,99.32,98.33,98.95,1715,-0.004126409017713328,100.07399999999998,101.95,0.008700776604262491,-0.61382571492907
2023-01-26,97.74,98.82,97.7,98.58,2287,-0.0037392622536635,99.28599999999999,101.40799999999999,0.008823487371244495,0.333527696793003
2023-01-27,96.61,96.73,96.08,96.61,4911,-0.01998376952728742,98.544,100.595,0.008258004299839476,1.1473546130301706
2023-01-30,99.2,99.59,98.81,99.07,2713,0.02546320256702206,98.514,100.065,0.0164357520738102,-0.4475666870291183
